"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,1,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,1,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,3,1,1,8,3,3,2,99,2,3,99,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,2,1,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,3,1,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,3,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,3,2,24,2,2,1,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,3,1,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,1,7,7,3,2,24,2,2,1,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,3,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,4,3,22,8,1,99,2,99,2,3,99,4,2,1,10,3,99,2,99,1,7,7,3,2,24,2,2,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,0,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,0,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,2,1,99,5,1,99,2,99,2,2,1,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,0,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,0,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,2,3,99,5,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,0,1,0,1,0,0,2024-02-02,Davis_Cup_Qualifiers,3,3,22,2,2,3,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,0,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,0,1,0,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,4,3,4,2,1,10,3,99,2,99,2,7,7,3,3,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,1,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,2,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,2,1,0,1,0,0,2024-02-02,Davis_Cup_Qualifiers,3,3,1,2,2,99,2,99,2,3,99,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,3,1,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,6,2,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,0,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,3,1,1,99,99,99,2,99,2,3,99,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,3,3,22,7,3,2,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,3,1,10,3,99,2,99,2,7,7,3,3,22,7,3,2,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,3,1,10,3,99,2,99,2,7,7,3,3,22,7,3,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,3,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,4,3,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,2,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,2,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,2,1,99,6,2,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,2,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,3,2,22,2,2,3,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,2,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,2,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,7,7,3,2,22,2,2,3,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,2,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,1,1,2,2,99,2,99,2,3,99,4,2,1,7,1,99,2,99,2,7,7,3,2,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,3,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,3,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,3,2,3,2,2,1,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,3,0,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,1,4,3,3,2,3,2,2,1,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,3,1,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,6,2,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,3,1,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,2,1,99,4,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,3,1,1,0,0,2024-02-02,Davis_Cup_Qualifiers,3,1,1,8,3,3,2,99,2,4,2,2,1,99,4,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,2,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,0,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,0,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,2,1,99,5,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,0,0,1,2,0,0,2024-02-02,Davis_Cup_Qualifiers,3,1,1,7,1,1,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,0,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,1,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,0,0,1,2,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,4,4,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,0,1,2,0,0,2024-02-02,Davis_Cup_Qualifiers,3,3,22,7,3,3,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,3,3,22,7,3,3,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,0,1,2,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,1,7,7,4,3,22,2,2,99,2,99,2,7,7,3,3,22,7,3,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,0,1,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,4,1,1,2,2,99,2,99,2,3,99,4,2,1,7,1,99,2,99,1,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,1,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Leandro Riedi","Botic Van De Zandschulp",RH,RH,1,1,1,2,0,0,2024-02-02,Davis_Cup_Qualifiers,3,1,3,8,3,2,2,99,2,3,99,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,2,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
"Botic Van De Zandschulp","Leandro Riedi",RH,RH,1,2,2,1,0,0,2024-02-02,Davis_Cup_Qualifiers,2,3,99,6,2,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Leandro_Riedi-Botic_Van_De_Zandschulp.html
